id|signal|advertisements|withdraws|total_messages|counter
7336592074962878058|A3A4A2A4A5A6A7A3A4A2A4|11|0|11|1
-8833612040436912351|A3A2A4A3A5A23A2A23A26A28A1A28A32A27A29W29A3A2A4|18|1|19|1
-4399048687749435313|A3A2A4A5A21A26A22A7W7A1A3A4|11|1|12|3
-3953959505967904753|A1A3A2A4A26A18W18A3A4A2A4|10|1|11|2
-3619522967073314038|A4A3A2A23A28A3A2A4|8|0|8|1
-347104647373369110|A4A3A5A1A23A1A5A2A27A28A27A7W7A3A4A2A4|16|1|17|1
8416869710240352144|A3A2A4A5A21A6A22A3A2A4|10|0|10|1
-593278143697121914|A1A3A2A4A5W5A3A4A2A4|9|1|10|1
-1810599552245620114|A4A3A23A1A2A3A4A2A4|9|0|9|1
3603182262957790540|A3A2A4A3A23A5A3A4A2A4|10|0|10|1
-3692274145998889|A3A2A4A5A6A18A7W7A3A2A4|10|1|11|10
-3877783042743175925|A3A2A4A5A6A18A7W7A2A3A2A4|11|1|12|1
-8056143246056592217|A3A2A4A5A21A6A3A2A4|9|0|9|4
-3883941172327240897|A3A2A4A5A6A18A7W7A1A3A4|10|1|11|2
7574634884252111483|A3A2A4A5A21A6A22W22A3A2A4|10|1|11|1
-6156963562618781329|A3A2A4A5A21A26A6A18A7A3A2A4|12|0|12|1
6893930712612430388|A3A2A4A5A3A4A2A4|8|0|8|3
1720256751243645439|A3A2A4A5A6A18W18A2A3A2A4|10|1|11|1
5607137435757679080|A3A2A4A5A26A6A18A7A3A4A2A4|12|0|12|1
-6801393290161058141|A3A2A4A5A6W6A3A4A2A4|9|1|10|1
4651750987803213111|A3A2A4A5A6A4|6|0|6|1
-4117483163326512880|A3A2A4A3A2A23A6A28W28A3A4|10|1|11|1
7827829426851328477|A3A2A4A3A2A23A6A28W28A3A2A4|11|1|12|1
-1928849912718081505|A3A2A4A21A26A6A18A7W7A4|9|1|10|1
-8055242193784110729|A3A2A4A3A5A2A21A23A6A32A28A32A7A29W29A3A4A2A4|18|1|19|1
-377692069196366912|A3A4A5A27A3A2A4|7|0|7|1
1723494007327293694|A3A4A5A21A6A22A7W7A3A2A4|10|1|11|11
91691511765186702|A3A4A5A21A6A22A7W7A21A4|9|1|10|2
2180584495210474954|A3A2A4A5A6A22A7A3A4A2A4|11|0|11|1
873978550056640767|A3A4A5A21A6A7W7A1A3A2A4|10|1|11|2
2170020111081662491|A3A2A4A5A6A22A3A4A2A4|10|0|10|1
-702202145190387266|A3A2A4A3A5A23A5A2A26A1A28A32A27A32A7A29W29A3A2A4|19|1|20|1
2393478420609480498|A3A2A4A3A5A1A2A1A28A27A7A29W29A3A4A2A4|16|1|17|1
729906369100990331|A3A2A4A3A1A23A1A2A27A7A3A4A2A4|14|0|14|1
-5291094768870139828|A3A2A4A5A6A22A7W7A21A4|9|1|10|1
-587832815966694258|A3A4A2A4A5A6A7W7A3A2A4|10|1|11|11
-4137566499761172735|A3A2A4A5A26A22A7W7A23A3A2A4|11|1|12|6
-8848952733688362970|A4A5A26A6A18A4|6|0|6|1
-8101993480021233284|A3A2A4A5A26A18A7W7A3A4A2A4|11|1|12|3
-6583696621124769185|A4A5A6A7W7A3A4A2A4|8|1|9|1
-4801474080467127201|A3A2A4A5A26A22A7W7A3A2A4|10|1|11|3
-5870121684333653868|A4A5A3A4|4|0|4|1
-5166843565171745182|A4A3A5A23A2A23A6A32A28A7A29A3A4A2A4|15|0|15|1
-6829687715718573055|A4A3A5A23A2A23A32A28A29W29A3A2A4|12|1|13|1
4456503320179062315|A4A3A5A2A3A4A2A4|8|0|8|2
-4781967296533234816|A4A5A21A26A6A18A3A4A2A4|10|0|10|1
3854650250770620943|A4A5A6A18A7W7A3A4A2A4|9|1|10|1
5049118811932733114|A4A5A21A26A3A4A2A4|8|0|8|1
8322663861878652498|A3A4A2A4A5A21A6A7W7A3A2A4|11|1|12|10
-3570461119999559179|A3A4A5A18W18A3A4A2A4|8|1|9|3
7406009654066119871|A3A4A2A4A5A6A7W7A3A4A2A4|11|1|12|1
309591488609540277|A3A4A5A18W18A23A3A4A2A4|9|1|10|3
3812001602165351862|A3A4A5A21A6A3A2A4|8|0|8|2
-8786534118004891090|A3A4A2A4A5A6A3A4A2A4|10|0|10|2
-3824439835315907875|A3A4A2A4A3A5A1A5A23A5A2A32A27A32A7A3A4A2A4|19|0|19|1
-102222750455383386|A3A4A2A4A3A1A2A1A21A23A27A6A28A22A32A7A29W29A4|18|1|19|1
3643907607222276700|A3A4A2A4A3A5A2A21A23A32A4|11|0|11|1
4006410818428695003|A3A4A2A4A5A6A22A7W7A3A4A2A4|12|1|13|1
6418351694854674800|A3A4A5A26A18A3A2A4|8|0|8|1
-3581361458374887382|A23A3A4A5A21A6W6A3A2A4|9|1|10|9
-4058457721835379739|A3A2A4A21A6A22A7W7A26A4|9|1|10|3
-420003507322778720|A3A2A4A3A5A23A5A2A6A3A2A4|12|0|12|1
7603380118439603271|A3A2A4A21A22A7W7A3A4A2A4|10|1|11|3
1234844934976563681|A3A2A4A3A5A1A2A1A23A1A27A28A27A7A29W29A3A4A2A4|19|1|20|1
-8494634581953905122|A3A4A5A4|4|0|4|1
1460307434680328876|A3A4A2A4A5A21A26A6A18A22A7A3A4A2A4|15|0|15|1
-8612562431873947361|A3A2A4A5A21A6A22A5A4|9|0|9|1
-7369520102517921810|A3A4A2A4A3A2A4|7|0|7|1
3666365763844266095|A3A2A4A5A6A22W22A2A3A4|9|1|10|9
-3778447425701795406|A3A2A4A5A6A22A7W7A3A4A2A4|11|1|12|3
3430380799846926442|A2A3A2A4A5A21A6A22A7A3A4A2A4|13|0|13|1
5391471394528812891|A3A2A4A5A6A22A7W7A4|8|1|9|3
5646799541803519582|A2A3A2A4A5A26A6A18A7W7A4|10|1|11|1
7423523096310454476|A3A2A4A5A21A6A3A4A2A4|10|0|10|3
2003757347400434049|A2A3A2A4A5A3A4|7|0|7|1
-8326167828944165773|A3A2A4A5A26A6A18A3A4A2A4|11|0|11|1
-150578684102714080|A3A2A4A5A21A3A2A4|8|0|8|1
982298066234210929|A3A4A2A5A26A6A3A4A2A4|10|0|10|1
7402764876908842846|A1A3A2A4A21A26A6A18W18A3A2A4|11|1|12|9
117298782985891213|A3A4A5A21A6A7W7A3A4A2A4|10|1|11|1
-5613861518994473409|A3A4A5A21A6A22A7W7A1A3A2A4|11|1|12|2
7837343777623686141|A3A4A5A3A4A2A4|7|0|7|2
-2373190100616814053|A3A4A5A21A6A7W7A3A4|8|1|9|1
-8662229531476589657|A3A4A2A4A5A21A6A7A3A4A2A4|12|0|12|1
-6889215044264254350|A3A4A2A4A5A6A22A7W7A3A2A4|11|1|12|1
4860810296939133339|A3A2A4A21A6A7W7A3A4A2A4|10|1|11|1
2360528875322674783|A3A2A1A27A18A3A2A4|8|0|8|1
5884785818361538501|A3A2A4A21A6A22A7W7A1A3A2A4|11|1|12|1
925772548978076211|A3A2A4A1A27A26A6A18A7W7A1A3A4A2A4|14|1|15|1
7588167648421466785|A3A2A5A21A6A4|6|0|6|1
-5197442837411101265|A3A2A4A5A4|5|0|5|2
-1488173797460400066|A23A3A4A2A4A5A21A6A22A7W7A3A2A4|13|1|14|2
8315175875015795072|A21A4A5A6A3A2A4|7|0|7|1
732030378241267144|A23A3A4A2A4A5A21A6A22A7W7A3A4A2A4|14|1|15|2
-1451393347521143935|A21A4A5A21A6A7W7A3A2A4|9|1|10|2
8680466737875246391|A23A3A4A2A4A5A21A26A6A18A22A7A3A4|14|0|14|2
6530569683300715525|A21A4A5A26A18A4|6|0|6|1
-8986098103011994122|A21A4A5A4|4|0|4|2
-5911552928370101471|A23A3A4A3A2A1A27A32A29W29A4|10|1|11|1
-7315223162018672915|A4A21A5A26A6A18A7W7A4|8|1|9|1
8356972238338940603|A23A3A4A3A2A1A27A32W32A3A2A4|11|1|12|1
-8365254102076940553|A4A5A26A6A18A7W7A3A4A2A4|10|1|11|1
4992480449029037435|A23A3A4A3A2A23A1A27A32A29W29A3A2A4|13|1|14|1
-3290533300165751431|A4A5A6A7A3A4A2A4|8|0|8|1
3177699773087763751|A2A3A4A5A6A22W22A23A3A2A4|10|1|11|9
-4026331538542170115|A3A4A2A4A21A6A7W7A3A2A4|10|1|11|2
-1487815742841162563|A3A2A4A3A23A2A23A32A28A32A5A4|12|0|12|1
-7154353943710249592|A3A4A2A4A21A22A7W7A3A2A4|10|1|11|3
-2747869155037669563|A3A2A4A3A2A21A23A26A1A32A28A18A29W29A3A2A4|16|1|17|1
2830169872225145797|A3A4A2A4A5A6A22A7A3A2A4|11|0|11|4
4862107805900869548|A3A2A4A3A2A21A23A4|8|0|8|1
-191039649714618085|A3A2A4A3A5A2A21A23A26A1A6A32A28A32A27A4|16|0|16|1
8982846598107584747|A3A2A4A3A2A21A1A23A1A6A32A27A7W7A3A4A2A4|17|1|18|1
2731100502179943485|A3A2A4A3A2A3A4A2A4|9|0|9|1
-3794398958202087624|A3A4A2A4A21A6A7W7A23A3A4A2A4|12|1|13|1
6638449026103125215|A3A2A5A21A6A3A4A2A4|9|0|9|1
-1779133469771272253|A3A2A5A21A6A7W7A3A4A2A4|10|1|11|1
-2926686815832750551|A3A4A2A4A5A21A6A7W7A4|9|1|10|1
925166642461072461|A3A2A4A5A21A6A22A4|8|0|8|2
7551015770342602634|A3A2A4A2A3A2A27A28A32A7A29W29A1A3A2A4|15|1|16|1
194148981504527325|A3A4A2A4A23A5A28A21A32A6A3A2A4|13|0|13|1
6896336474086462718|A3A2A4A2A3A2A27A28A32A7A29W29A3A4A2A4|15|1|16|1
-1213591480791843567|A3A4A2A4A23A5A28A21A6A7W7A4|11|1|12|1
-207068011814988712|A3A2A4A3A1A23A1A5A3A4A2A4|12|0|12|1
9167002751495293857|A2A3A2A4A5A21A6A3A4A2A4|11|0|11|1
-4163472134927510319|A2A3A2A4A5A21A6A7W7A3A4A2A4|12|1|13|1
2134048283762590731|A2A3A2A4A5A4|6|0|6|1
735730355963551904|A3A4A2A4A5A21A6A7W7A3A4|10|1|11|1
-3970285549974558039|A3A2A4A5A21A26A6A18A7W7A3A4A2A4|13|1|14|1
-4083185320210373488|A3A4A2A4A5A21A26A6A18A3A2A4|12|0|12|1
-776187199227779663|A3A2A4A5A21A26A6A18A7W7A1A3A2A4|13|1|14|1
-4483182272748610069|A3A4A2A4A5A21A26A6A18A7W7A3A2A4|13|1|14|1
4513129329447808862|A3A4A2A4A5A4|6|0|6|1
1650911888634444625|A2A3A2A4A5A21W21A3A2A4|9|1|10|9
2410187596663016953|A4A21A26A22W22A3A4|6|1|7|5
585748512356397137|A4A21A26A6A3A4A2A4|8|0|8|1
-8311313887732973185|A4A5A26A6A18A7W7A3A2A4|9|1|10|2
857087923797790123|A4A5A21A26A6A18A22A7A4|9|0|9|2
-5265479180405557447|A4A5A21A6A4|5|0|5|1
-5391954174472965845|A4A5A21A6A22A2A3A2A4|9|0|9|1
-1511174052871821567|A4A21A26A18A7W7A4|6|1|7|1
-4482268627391550669|A4A2A3A2A23A1A28A3A4A2A4|11|0|11|1
1619494979584751629|A4A3A1A23A2A23A27A28A32A7A29W29A3A4A2A4|15|1|16|1
7411121526053350017|A4A5A21A26A3A2A4|7|0|7|1
