id|signal|advertisements|withdraws|total_messages|counter
5704105437679048275|A2A7A17A11A2|5|0|5|1
-822476647434199905|A7A2A1A2|4|0|4|2
-4585598980362886890|A2A7W7A2|3|1|4|1
-3450633982031399206|A2A11A2|3|0|3|2
-7558506967149858829|A2A29A2|3|0|3|2
1229780533147649976|A7A1A2|3|0|3|4
-3925015926545746959|A7A2A30A2|4|0|4|2
4823452256503560080|A7A2A30A7A2|5|0|5|2
-2886231004534536068|A17A2A30A2|4|0|4|2
-8856001488752202471|A17A2A30A7A2|5|0|5|1
6942232204541330514|A7A2A7A17A2|5|0|5|1
3594904837461349719|A11A17A2|3|0|3|2
5096382714059659796|A11A17W17A2|3|1|4|1
8149771221351608048|A7A2W2A1A2|4|1|5|1
7111511247621921528|A7A2A7A11A2|5|0|5|1
-210230634054574248|A1A2A17A2|4|0|4|1
-1502226123251815876|A1A2A18A2|4|0|4|1
4352554391738711114|A1A2W2A11A2|4|1|5|1
-2191910190688229751|A1A2A7A2|4|0|4|1
3744574232094705472|A7A29A2|3|0|3|2
-2493036541312731415|A7A28A2|3|0|3|1
-1341309155647328996|A1A11A2|3|0|3|1
-1456320764668569479|A17A18A2|3|0|3|3
8891439034587543121|A16A2|2|0|2|2
-3399224252365151445|A17A18W18A2|3|1|4|1
393689328005755230|A16A2W2A2|3|1|4|1
-350395509304408505|A16A2A17A2|4|0|4|2
-4031131222048175823|A17A2A7W7A2|4|1|5|1
3610119066351984278|A16A2A11A7A2|5|0|5|1
8932255762869663012|A17A16W16A2|3|1|4|1
-4403948122600180387|A2A16A7A2|4|0|4|2
573196814889600059|A7A2A28A2|4|0|4|1
-2932121597164158758|A7A18A11A2|4|0|4|1
-4455877203982255373|A7A30A11A2|4|0|4|1
-7660701952364329533|A7A17A11A2|4|0|4|1
-2769101750413723176|A2A18A7A2|4|0|4|1
-1701883319777882426|A2A18A26A2|4|0|4|1
7671695528747847297|A2A31A2|3|0|3|1
